question 1,question 2,status,time,order date,order name,message 1,message 2,message 3,id,alert
status ; tracking_PB ; cancel ; refund ; return ; modify_order ; modify_adress ; info_not_found ; second_message_failed ; Default Fallback Intent ; thanks,Examples : case 3 : info_not_found AND any other questions ; case 4 : status OR tracking_PB ; case 5 : ONLY status ; case 6 : status AND tracking_PB,none ; not_fulfilled ; fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center ; delivered,positive value : estimated days before delivering ; negative value : days after delivering ; 100 :  when not fulfilled ; 400 : none,Available soon,Available soon,,,,,yes ; no
info_not_found,,none,400 ; 400,,,Pouvez vous m'indiquer votre numéro de commande afin que je puisse vous aider ?,,,0,
status ; tracking_PB,status ; tracking_PB,not_fulfilled,90 ; 100,,,Ne vous en faites pas$ votre commande est bien en cours de traitement. Vous recevrez sous peu un mail de confirmation d'expédition avec votre numéro de suivi,,,4,no
status,status,fulfilled ; shipped ; in_airline,3 ; 20,,,Ne vous en faites pas$ votre commande est bien en cours d'acheminement et nous faisons notre possible pour vous la livrer dans les plus brefs délais.,,,5,no
status,tracking_PB,fulfilled ; shipped ; in_airline,3 ; 20,,,Ne vous en faites pas$ votre commande est bien en cours d'acheminement et nous faisons notre possible pour vous la livrer dans les plus brefs délais.<br>Vous pouvez suivre l'avancement de votre colis ici : http://parcelsapp.com/fr/tracking/{tracking_num},,,6,
status,status,in_dest_country,-2 ; 6,,,Nous avons verifié le suivi de votre commande : Celle ci est proche de chez vous$ vous devriez la recevoir d'ici quelques jours :),,,7,
status,tracking_PB,in_dest_country,-2 ; 6,,,Nous avons verifié le suivi de votre commande : Celle ci est proche de chez vous$ vous devriez la recevoir d'ici quelques jours :)<br>Vous pouvez suivre l'avancement de votre colis ici : http://parcelsapp.com/fr/tracking/{tracking_num},,,8,
status,status,in_local_center,-2 ; 2,,,Nous avons verifié le suivi de votre commande : Celle ci est dans votre centre postal local$ vous devriez la recevoir d'ici demain :),,,9,
status,tracking_PB,in_local_center,-2 ; 2,,,Nous avons verifié le suivi de votre commande : Celle ci est dans votre centre postal local$ vous devriez la recevoir d'ici demain :)<br>Vous pouvez suivre l'avancement de votre colis ici : http://parcelsapp.com/fr/tracking/{tracking_num},,,10,
status ; tracking_PB ; refund,status ; tracking_PB,delivered,-7 ; -1,,,Nous avons verifié et selon le suivi de votre commande$ celle ci a été livrée il y a quelques jours. Vous pouvez voir son suivi ici : http://parcelsapp.com/fr/tracking/{tracking_num}<br>Il s'agit peut être d'une erreur de votre facteur$ un voisin a surement récupéré votre colis. Voyez donc auprès de votre entourage et contactez la poste si vous n'avez toujours pas trouvé votre colis.,,,11,
status ; tracking_PB ; refund,status ; tracking_PB,delivered,-30 ; -8,,,Nous avons verifié et selon le suivi de votre commande$ celle ci a été livrée il y a plus d'une semaine. Vous pouvez voir son suivi ici : http://parcelsapp.com/fr/tracking/{tracking_num}<br>Etes vous certain de ne pas l'avoir reçu ? Sinon il s'agit surement d'une erreur de votre facteur$ un voisin a surement récupéré votre colis. Voyez donc auprès de votre entourage et contactez la poste si vous n'avez toujours pas trouvé votre colis pour contester la livraison. Navré que cela vous soit arrivé.,,,12,
tracking_PB,tracking_PB,fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center,-3 ; 20,,,Votre commande est bien en cours d'acheminement. Vous pouvez suivre son avancement ici : http://parcelsapp.com/fr/tracking/{tracking_num}<br>Si vous avez d'autres questions n'hésitez pas :),,,13,
cancel ; refund,,not_fulfilled,90 ; 100,,,Votre demande d'annulation a bien été prise en compte et nous procederons à votre remboursement dans les plus brefs délais<br>N'hésitez pas à revenir vers nous si vous avez la moindre question ou si vous souhaitez changer d'article :),,,14,
cancel,,fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center,-3 ; 20,,,"Votre commande a déja été traitée et expediée par notre équipe$ nous ne pouvons malheuresement pas procéder à son annulation<br>Si vous souhaitez toutefois être remboursé$ alors nous procéderons selon nos CGV et conditions de retour consultables sur notre site internet. Vous pouvez ainsi être remboursé si :<br>- Vous n'avez pas reçu votre commande avant la fin du délai (""colis perdu"")<br>Ou après récéption de l'article et si celui ci ne vous satisfait pas",,,15,
refund,,fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center,-3 ; 20,,,Navré d'apprendre que vous n'êtes pas pleinement satisfait de notre service. Ne vous inquiétez pas$ votre commande a bien été traitée par notre équipe et devrait arriver prochainement chez vous.<br>Si toutefois vous souhaitez être remboursé$ alors nous procéderons selon nos CGV et politique de retour consultables sur notre site internet. Vous pouvez ainsi être remboursé si vous n'avez pas reçu votre commande avant la fin du délai légal de 30 jours après achat.<br>N'hésitez pas à revenir vers nous si vous avez la moindre question :),,,16,
refund ; return,refund ; return,delivered,-14 ; 0,,,Navré d'apprendre que vous n'êtes pas pleinement satisfait de notre service. Ne vous en faites pas$ nous pouvons vous envoyer un nouvel article gratuitement$ ou sinon vous rembourser selon nos CGV et politique de retour consultables sur notre site internet :<br>Retournez l'article à notre service de retour:<br>4 Avenue de Fulpmes$ 78450 Villepreux$ FRANCE<br>Veillez à indiquer clairement sur le colis votre nom et numéro de commande. Il vous incombera de payer vos propres frais d'expédition pour retourner votre article.<br>Après récéption de votre colis$ nous procéderons à l'envoi d'un article de remplacement gratuit$ ou au remboursement intégral de votre commande.<br>N'hésitez pas à revenir vers nous si vous avez la moindre question :),,,17,
refund ; return,refund ; return,delivered,-200 ; -15,,,Navré d'apprendre que vous rencontrez un problème avec votre article. Malheureseument selon nos CGV et politique de retour consultables sur notre site internet$ votre retour n'est pas eligible car vous avez receptionné votre commande il y a plus de 14 jours. Nous pouvons toutefois vous offrir le code promo KDO20 si vous souhaitez acheter un article de remplacement :),,,18,
modify_adress,,not_fulfilled,95 ; 100,,,Bien noté$ nous avons modifié votre adresse de livraison:),,,19,
modify_order,,not_fulfilled,95 ; 100,,,Bien noté$ nous avons modifié votre commande :),,,20,
modify_adress,,fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center,0 ; 20,,,Votre commande a déja été traitée et expédiée par notre équipe$ nous ne pouvons malheuresement plus modifier votre adresse de livraison. Vous pouvez contacter la poste avec votre numéro de suivi : {tracking_num} pour trouver une solution auprès d'eux,,,21,
modify_order,,fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center,0 ; 20,,,Votre commande a déja été traitée et expédiée par notre équipe$ nous ne pouvons malheuresement plus modifier votre commande. Je vous propose donc un code promo exceptionnel pour acheter l'article que vous préferez : MERCI.<br>Ou bien vous pouvez attendre reception de votre commande puis demander un échange$ comme vous le souhaitez !,,,22,
thanks,thanks,none ; not_fulfilled ; fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center ; delivered,-100 ; 400,,,De rien :) N'hésitez pas à revenir vers nous si vous avez la moindre question !,,,0,
Default Fallback Intent,Default Fallback Intent,none ; not_fulfilled ; fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center ; delivered,-100 ; 400,,,/ALERT Aucune question detectée,,,0,